word,phonetic,meaning,meaning_full,unit,theme,root,parts,memory,related,example_en,example_zh
objective,/əbˈdʒektɪv/,adj. 客观的；真实的 n. 目标；目的,adj. 客观的；真实的 n. 目标；目的,Unit 01 必考词,抽象,ject,ob-加强|ject 扔|-ive 形容词/名词后缀,object的形容词，基于物体的、真实的→客观的，也指目标，考研核心词。,object|target|goal|unbiased,We should look at the problem from an objective point of view.,我们应该从客观的角度看待这个问题。
identity,/aɪˈdentəti/,n. 身份；本身；本体；同一性,n. 身份；本身；本体；同一性,Unit 01 必考词,自我,ident,ident 相同|-ity 名词后缀,ident是相同，-ity名词，和自己相同的东西→身份、本体，考研核心词。,identify|identification|identical|self,He is trying to find his true identity in life.,他在努力寻找自己人生中真正的身份。
identify,/aɪˈdentɪfaɪ/,v. 识别；认出；确认；认同,v. 识别；认出；确认；认同,Unit 01 必考词,自我,ident,ident 相同|-ify 动词后缀,ident相同，-ify使动，使和自己相同→识别、认出，也指认同，考研高频搭配identify with sb。,identity|identification|recognize|confirm,She can identify the criminal from the photo.,她能从照片中认出罪犯。
identification,/aɪˌdentɪfɪˈkeɪʃn/,n. 识别；确认；身份证明；认同,n. 识别；确认；身份证明；认同,Unit 01 必考词,自我,ident,ident 相同|-ification 名词后缀,identify的名词，识别的动作或结果，也指身份证明，考研高频词。,identify|identity|recognize|ID,You need to show your identification to enter the building.,你需要出示身份证明才能进入这栋楼。
identical,/aɪˈdentɪkl/,adj. 完全相同的；同一的,adj. 完全相同的；同一的,Unit 01 必考词,抽象,ident,ident 相同|-ical 形容词后缀,ident相同，-ical形容词，完全相同的，考研高频搭配identical to/with sth。,identity|identify|same|equal,These two dresses are almost identical in style.,这两条裙子在款式上几乎完全一样。
ideal,/aɪˈdɪəl/,adj. 理想的；完美的；空想的 n. 理想；典范,adj. 理想的；完美的；空想的 n. 理想；典范,Unit 01 必考词,抽象,ide,ide 思想|-al 形容词/名词后缀,ide是思想，-al后缀，思想里的完美状态→理想的、理想，考研核心词。,ideology|perfect|model|dream,This is the ideal place for our summer vacation.,这是我们暑假的理想去处。
ideology,/ˌaɪdiˈɑːlədʒi/,n. 思想体系；意识形态；观念学,n. 思想体系；意识形态；观念学,Unit 01 必考词,抽象,ide,ide 思想|-ology 学科后缀,ide思想，-ology学科，思想的体系→意识形态，考研阅读高频词。,ideal|idea|philosophy|belief,Different people have different ideologies about life.,不同的人对生活有不同的思想观念。
judge,/dʒʌdʒ/,v. 判断；评判；审判 n. 法官；裁判员,v. 判断；评判；审判 n. 法官；裁判员,Unit 01 必考词,社会,jud,jud 评判|-e 动词/名词后缀,jud是评判，-e后缀，判断、审判的动作或人，考研核心多义词。,judgement|judicial|jury|justice,We should not judge a person by his appearance.,我们不应该以貌取人。
judgement,/ˈdʒʌdʒmənt/,n. 判断；判断力；看法；判决,n. 判断；判断力；看法；判决,Unit 01 必考词,社会,jud,jud 评判|-ment 名词后缀,judge的名词，判断的动作或结果，也指判决，考研高频词。,judge|judicial|decision|opinion,Her judgement of the situation is very good.,她对局势的判断力非常强。
judicial,/dʒuˈdɪʃl/,adj. 司法的；法庭的；公正的,adj. 司法的；法庭的；公正的,Unit 01 必考词,社会,jud,jud 评判|-icial 形容词后缀,jud评判，-icial形容词，和评判、法庭相关的→司法的，考研高频词。,judge|jury|justice|legal,The judicial system plays an important role in society.,司法体系在社会中扮演着重要的角色。
jury,/ˈdʒʊri/,n. 陪审团；评判委员会,n. 陪审团；评判委员会,Unit 01 必考词,社会,jur,jur 发誓|-y 名词后缀,jur是发誓，-y名词，发誓要公正评判的人→陪审团，考研高频词。,judge|judicial|justice|trial,The jury found the man not guilty.,陪审团判定这个人无罪。
jurisdiction,/ˌdʒʊrɪsˈdɪkʃn/,n. 司法权；管辖权；管辖范围,n. 司法权；管辖权；管辖范围,Unit 01 必考词,社会,jur,jur 发誓|dict 说|-ion 名词后缀,jur发誓+dict说，发誓来说话的权力→司法权、管辖权，考研高频词。,jury|judge|justice|authority,This court has no jurisdiction over this case.,这个法院对这个案件没有管辖权。
justice,/ˈdʒʌstɪs/,n. 公平；公正；正义；司法,n. 公平；公正；正义；司法,Unit 01 必考词,社会,just,just 公正|-ice 名词后缀,just公正，-ice名词，公正的状态→公平、正义，考研核心词。,judge|jury|fairness|equity,We should all fight for justice and equality.,我们都应该为正义和平等而战。
law,/lɔː/,n. 法律；法规；定律；规律,n. 法律；法规；定律；规律,Unit 01 必考词,社会,law,law 法律,最基础的法律相关词，考研高频多义词，也指自然规律。,lawsuit|legal|justice|rule,Everyone must obey the law of the country.,每个人都必须遵守国家的法律。
lawsuit,/ˈlɔːsuːt/,n. 诉讼；官司,n. 诉讼；官司,Unit 01 必考词,社会,law,law 法律|suit 诉讼,law法律+suit诉讼，打官司的动作→诉讼、官司，考研高频词。,law|sue|trial|case,He filed a lawsuit against the company.,他对这家公司提起了诉讼。
latter,/ˈlætər/,adj. 后者的；后半的；较后的,adj. 后者的；后半的；较后的,Unit 01 必考词,抽象,lat,lat 带|-er 比较级后缀,lat是带，-er比较级，带在后面的→后者的，考研高频搭配the latter。,later|last|second|following,Of the two plans, I prefer the latter one.,在这两个计划中，我更喜欢后者。
lateral,/ˈlætərəl/,adj. 侧面的；横向的；平级的,adj. 侧面的；横向的；平级的,Unit 01 必考词,自然与科学,lat,lat 带|-eral 形容词后缀,lat是带，-eral形容词，带到侧面的→侧面的、横向的，考研高频词。,side|horizontal|parallel|flank,The plant has small lateral branches on its stem.,这种植物的茎上有细小的侧枝。
largely,/ˈlɑːrdʒli/,adv. 大部分；主要地；很大程度上,adv. 大部分；主要地；很大程度上,Unit 01 必考词,抽象,larg,larg 大|-ly 副词后缀,larg大，-ly副词，很大程度上→大部分、主要地，考研高频副词。,large|mostly|mainly|greatly,His success is largely due to his hard work.,他的成功很大程度上归功于他的努力。
lag,/læɡ/,v. 落后；滞后；延迟 n. 滞后；延迟,v. 落后；滞后；延迟 n. 滞后；延迟,Unit 01 必考词,抽象,lag,lag 拖,拖在后面→落后、滞后，考研高频搭配lag behind。,delay|fall behind|slow|trail,If you don't study hard, you will lag behind your classmates.,如果你不努力学习，就会落后于你的同学。
label,/ˈleɪbl/,n. 标签；标记；称号 v. 贴标签；把…称为,n. 标签；标记；称号 v. 贴标签；把…称为,Unit 01 必考词,抽象,lab,lab 唇|-el 名词/动词后缀,lab是唇，-el后缀，用嘴唇说出来的标记→标签，也指贴标签，考研高频词。,tag|mark|name|brand,Please put a label on your luggage before you travel.,旅行前请在你的行李上贴个标签。
justify,/ˈdʒʌstɪfaɪ/,v. 证明…正当；为…辩护；使合理,v. 证明…正当；为…辩护；使合理,Unit 01 必考词,社会,just,just 公正|-ify 动词后缀,just公正，-ify使动，使变得公正→证明正当、为…辩护，考研核心词。,just|justice|defend|warrant,He tried to justify his late arrival for the meeting.,他试图为自己开会迟到找正当理由。
magnificent,/mæɡˈnɪfɪsnt/,adj. 壮丽的；宏伟的；华丽的；极好的,adj. 壮丽的；宏伟的；华丽的；极好的,Unit 01 必考词,自然与科学,magn,magn 大|-ificent 形容词后缀,magn是大，-ificent形容词，大的、壮观的→壮丽的、宏伟的，考研高频词。,magnify|magnitude|grand|splendid,We saw a magnificent view of the mountains from the top of the hill.,我们从山顶看到了壮丽的山景。
magnify,/ˈmæɡnɪfaɪ/,v. 放大；扩大；夸大；增强,v. 放大；扩大；夸大；增强,Unit 01 必考词,自然与科学,magn,magn 大|-ify 动词后缀,magn大，-ify使动，使变大→放大、扩大，也指夸大，考研高频词。,magnificent|magnitude|enlarge|exaggerate,This microscope can magnify the object 100 times.,这台显微镜可以把物体放大100倍。
magnitude,/ˈmæɡnɪtuːd/,n. 大小；量级；重要性；地震震级,n. 大小；量级；重要性；地震震级,Unit 01 必考词,自然与科学,magn,magn 大|-itude 名词后缀,magn大，-itude名词，大的程度→大小、量级、重要性，考研高频词。,magnify|magnificent|size|importance,We did not realize the magnitude of the problem at first.,一开始我们没有意识到这个问题的重要性。
maintain,/meɪnˈteɪn/,v. 维持；保持；维修；保养；坚持,v. 维持；保持；维修；保养；坚持,Unit 01 必考词,自我,tain,main-手|tain 拿|- 动词后缀,main手+tain拿，用手一直拿着→维持、保持，也指维修、坚持，考研核心词。,maintenance|keep|preserve|insist,It is important to maintain a healthy lifestyle.,保持健康的生活方式很重要。
maintenance,/ˈmeɪntənəns/,n. 维持；保持；维修；保养,n. 维持；保持；维修；保养,Unit 01 必考词,自我,tain,main-手|tain 拿|-ance 名词后缀,maintain的名词，维持、维修的动作或结果，考研高频词。,maintain|keep|preserve|repair,The car needs regular maintenance to run well.,这辆车需要定期保养才能正常运行。
major,/ˈmeɪdʒər/,adj. 主要的；重要的；大的 n. 专业；少校 v. 主修,adj. 主要的；重要的；大的 n. 专业；少校 v. 主修,Unit 01 必考词,抽象,maj,maj 大|-or 形容词/名词后缀,maj大，-or后缀，大的、重要的→主要的，也指专业、主修，考研核心多义词。,majority|main|chief|primary,She is a history major at the university.,她是这所大学历史专业的学生。
majority,/məˈdʒɔːrəti/,n. 大多数；大部分；多数票,n. 大多数；大部分；多数票,Unit 01 必考词,抽象,maj,maj 大|-ority 名词后缀,major的名词，大的部分→大多数、大部分，考研高频词。,major|most|bulk|plurality,The majority of students in our class are girls.,我们班大多数学生是女生。
make,/meɪk/,v. 做；制造；使；让；获得；形成,v. 做；制造；使；让；获得；形成,Unit 01 必考词,自我,mak,mak 做|-e 动词后缀,最基础的核心动词，考研高频多义词，搭配极多，需重点掌握。,do|create|form|get,My mother makes delicious cakes for us every weekend.,我妈妈每个周末都给我们做美味的蛋糕。
theme,/θiːm/,n. 主题；题目；主旋律,n. 主题；题目；主旋律,Unit 01 必考词,抽象,them,them 放|-e 名词后缀,them是放，-e后缀，放出来的核心内容→主题、题目，考研高频词。,topic|subject|title|motif,The theme of this book is love and peace.,这本书的主题是爱与和平。
theory,/ˈθɪəri/,n. 理论；原理；学说；看法,n. 理论；原理；学说；看法,Unit 01 必考词,抽象,the,the 看|-ory 名词后缀,the是看，-ory名词，看到的规律→理论、原理，考研核心词。,theoretical|principle|law|idea,We need to combine theory with practice in our study.,我们在学习中需要理论联系实际。
theoretical,/ˌθiːəˈretɪkl/,adj. 理论的；理论上的；假设的,adj. 理论的；理论上的；假设的,Unit 01 必考词,抽象,the,the 看|-oretical 形容词后缀,theory的形容词，和理论相关的→理论的，考研高频词。,theory|principle|academic|hypothetical,She has a good theoretical knowledge of physics.,她有扎实的物理学理论知识。
therapy,/ˈθerəpi/,n. 治疗；疗法；心理治疗,n. 治疗；疗法；心理治疗,Unit 01 必考词,自我,ther,ther 热|-apy 名词后缀,ther是热，-apy名词，用热来治疗→治疗、疗法，考研高频词。,treat|treatment|cure|heal,He is receiving physical therapy for his leg injury.,他正在为腿伤接受物理治疗。
saving,/ˈseɪvɪŋ/,n. 节省；节约；储蓄金；存款,n. 节省；节约；储蓄金；存款,Unit 01 必考词,社会,sav,sav 救|-ing 名词后缀,sav是救，-ing名词，救下来的东西→节省、储蓄，考研高频词。,save|economy|deposit|reserve,She has a large saving in the bank for her future.,她在银行里有一大笔存款，为将来做准备。
scale,/skeɪl/,n. 规模；范围；等级；刻度；天平 v. 攀登；缩放,n. 规模；范围；等级；刻度；天平 v. 攀登；缩放,Unit 01 必考词,抽象,scal,scal 爬|-e 名词/动词后缀,scal是爬，-e后缀，爬的高度→等级、刻度，也指规模、攀登，考研核心多义词。,size|scope|range|climb,We are planning to expand the business on a large scale.,我们正计划大规模拓展业务。
scene,/siːn/,n. 场景；情景；场面；风景；镜头,n. 场景；情景；场面；风景；镜头,Unit 01 必考词,自然与科学,scen,scen 看|-e 名词后缀,scen是看，-e后缀，看到的东西→场景、风景、镜头，考研高频词。,scenery|view|landscape|picture,We saw a beautiful scene of the lake at sunset.,我们看到了日落时分湖边的美景。
scenery,/ˈsiːnəri/,n. 风景；景色；舞台布景,n. 风景；景色；舞台布景,Unit 01 必考词,自然与科学,scen,scen 看|-ery 名词后缀,scene的名词，看到的自然风景→景色、风景，考研高频词。,scene|view|landscape|nature,The scenery along the road is very beautiful.,沿途的风景非常美。
pace,/peɪs/,n. 步速；速度；节奏 v. 踱步；缓慢走,n. 步速；速度；节奏 v. 踱步；缓慢走,Unit 01 必考词,自我,pac,pac 平|-e 名词/动词后缀,pac是平，-e后缀，平稳的脚步→步速、节奏，也指踱步，考研高频词。,speed|rate|rhythm|walk,He walked at a slow pace along the river.,他沿着河边慢慢地走着。
panel,/ˈpænl/,n. 面板；仪表盘；专家小组；陪审团,n. 面板；仪表盘；专家小组；陪审团,Unit 01 必考词,社会,pan,pan 平|-el 名词后缀,pan是平，-el后缀，平的板子→面板，也指专家小组，考研高频多义词。,board|committee|jury|dashboard,The control panel of the machine is very easy to use.,这台机器的控制面板非常容易操作。
panorama,/ˌpænəˈræmə/,n. 全景；全景图；全貌,n. 全景；全景图；全貌,Unit 01 必考词,自然与科学,pan,pan 全|orama 看,pan全+orama看，全部都能看到→全景、全貌，考研高频词。,pan|scene|scenery|landscape,We had a wonderful panorama of the city from the tower.,我们从塔上看到了城市的绝美全景。
prove,/pruːv/,v. 证明；证实；证明是；显示出,v. 证明；证实；证明是；显示出,Unit 01 必考词,抽象,prov,prov 测试|-e 动词后缀,prov是测试，-e后缀，测试出来是真的→证明、证实，考研核心词。,proof|confirm|verify|show,He tried to prove that he was right about the problem.,他努力证明自己在这个问题上是对的。
provide,/prəˈvaɪd/,v. 提供；供应；给予；规定,v. 提供；供应；给予；规定,Unit 01 必考词,社会,vid,pro-提前|vid 看|-e 动词后缀,pro提前+vid看，提前看到需要的东西→提供、供应，考研核心词，高频搭配provide sb with sth。,supply|give|offer|provide for,The school provides us with all the books we need.,学校为我们提供了所有需要的书籍。
savage,/ˈsævɪdʒ/,adj. 野蛮的；凶残的；荒凉的 n. 野蛮人；未开化的人,adj. 野蛮的；凶残的；荒凉的 n. 野蛮人；未开化的人,Unit 01 必考词,社会,sav,sav 森林|-age 名词/形容词后缀,sav是森林，-age后缀，森林里的人→野蛮的、野蛮人，考研高频词。,wild|barbaric|fierce|uncivilized,The savage beast attacked the villagers in the mountain.,野兽袭击了山里的村民。
safety,/ˈseɪfti/,n. 安全；平安；安全设施,n. 安全；平安；安全设施,Unit 01 必考词,自我,saf,saf 安全|-ty 名词后缀,saf安全，-ty名词，安全的状态→安全、平安，考研高频词。,safe|security|protection|safeguard,We should pay more attention to road safety when we drive.,开车时我们应该更加注意道路安全。
safeguard,/ˈseɪfɡɑːrd/,v. 保护；保卫；维护 n. 保护措施；安全装置,v. 保护；保卫；维护 n. 保护措施；安全装置,Unit 01 必考词,自我,saf,saf 安全|guard 保卫,saf安全+guard保卫，保护安全的动作或东西→保护、安全措施，考研高频词。,safety|protect|defend|guard,We need to safeguard our personal information online.,我们需要在网上保护好自己的个人信息。
quality,/ˈkwɑːləti/,n. 质量；品质；特性；才能,n. 质量；品质；特性；才能,Unit 01 必考词,抽象,qual,qual 种类|-ity 名词后缀,qual种类，-ity名词，某一种类的特性→质量、品质，考研核心词。,qualitative|feature|characteristic|property,The quality of this product is much better than that one.,这个产品的质量比那个好得多。
qualitative,/ˈkwɑːlɪteɪtɪv/,adj. 质量的；定性的；性质的,adj. 质量的；定性的；性质的,Unit 01 必考词,抽象,qual,qual 种类|-itative 形容词后缀,quality的形容词，和质量、性质相关的→定性的，考研高频词。,quality|feature|characteristic|property,We did a qualitative analysis of the data we collected.,我们对收集到的数据做了定性分析。
qualification,/ˌkwɑːlɪfɪˈkeɪʃn/,n. 资格；学历；资历；限定条件,n. 资格；学历；资历；限定条件,Unit 01 必考词,社会,qual,qual 种类|-ification 名词后缀,qualify的名词，有资格的状态→资格、学历、资历，考研高频词。,qualify|quality|certificate|credential,He has all the qualifications for this job.,他具备这份工作的所有资格条件。
obtain,/əbˈteɪn/,v. 获得；得到；存在；流行,v. 获得；得到；存在；流行,Unit 01 必考词,自我,tain,ob-加强|tain 拿|- 动词后缀,ob加强+tain拿，拿到手→获得、得到，考研核心词，高频搭配obtain sth from sb。,get|gain|acquire|receive,You can obtain a lot of knowledge from reading books.,你可以从读书中获得很多知识。
obvious,/ˈɑːbviəs/,adj. 明显的；显而易见的；平淡无奇的,adj. 明显的；显而易见的；平淡无奇的,Unit 01 必考词,抽象,vi,ob-加强|vi 路|-ous 形容词后缀,ob加强+vi路，都在路上了→明显的、显而易见的，考研高频词。,clear|evident|apparent|plain,It is obvious that he is lying to us about this matter.,很明显，他在这件事上对我们撒谎了。
mediate,/ˈmiːdieɪt/,v. 调解；调停；斡旋；居中促成,v. 调解；调停；斡旋；居中促成,Unit 02 必考词,社会,medi,medi 中间|-ate 动词后缀,medi是中间，-ate动词，在中间做事→调解、调停，考研高频搭配mediate between A and B。,mediation|reconcile|negotiate|intervene,The company tried to mediate the dispute between the two departments.,公司试图调解两个部门之间的纠纷。
mediation,/ˌmiːdiˈeɪʃn/,n. 调解；调停；斡旋,n. 调解；调停；斡旋,Unit 02 必考词,社会,medi,medi 中间|-ation 名词后缀,mediate的名词，调解、调停的动作或过程，考研高频词。,mediate|reconciliation|negotiation|intervention,The dispute was finally settled through mediation.,这场纠纷最终通过调解解决了。
medium,/ˈmiːdiəm/,adj. 中等的；适中的 n. 媒介；手段；方法；媒体,adj. 中等的；适中的 n. 媒介；手段；方法；媒体,Unit 02 必考词,抽象,medi,medi 中间|-um 名词/形容词后缀,medi是中间，-um后缀，中间的东西→中等的、媒介，考研核心多义词。,media|average|middle|means,We can communicate with each other through various media.,我们可以通过各种媒介互相交流。
media,/ˈmiːdiə/,n. 媒体；媒介；新闻传媒,n. 媒体；媒介；新闻传媒,Unit 02 必考词,社会,medi,medi 中间|-a 名词后缀,medium的复数形式，特指新闻媒体、传媒，考研高频词。,medium|press|journalism|broadcast,The media plays an important role in shaping public opinion.,媒体在塑造公众舆论方面扮演着重要角色。
elaborate,/ɪˈlæbərət/ adj. /ɪˈlæbəreɪt/ v.,adj. 详尽的；复杂的；精心制作的 v. 详细说明；精心制作,adj. 详尽的；复杂的；精心制作的 v. 详细说明；精心制作,Unit 02 必考词,抽象,labor,e-加强|labor 劳动|-ate 形容词/动词后缀,labor是劳动，e加强，付出大量劳动的→精心制作的、详尽的，也指详细说明，考研核心多义词。,detailed|complex|refine|explain,She gave an elaborate explanation of her research findings.,她对自己的研究结果做了详尽的解释。
elegant,/ˈelɪɡənt/,adj. 优雅的；高雅的；精美的；简洁的,adj. 优雅的；高雅的；精美的；简洁的,Unit 02 必考词,自我,leg,e-加强|leg 选择|-ant 形容词后缀,leg是选择，e加强，精心挑选的→优雅的、高雅的，考研高频词。,graceful|refined|tasteful|sophisticated,She is an elegant woman with good manners.,她是一位举止优雅的女士。
element,/ˈelɪmənt/,n. 元素；要素；成分；基础；自然力,n. 元素；要素；成分；基础；自然力,Unit 02 必考词,自然与科学,elem,elem 基础|-ent 名词后缀,elem是基础，-ent名词，基础的东西→元素、要素、成分，考研核心词。,component|factor|ingredient|basic,Honesty is an important element of a good character.,诚实是良好品格的重要组成部分。
elementary,/ˌelɪˈmentri/,adj. 初级的；基础的；基本的；小学的,adj. 初级的；基础的；基本的；小学的,Unit 02 必考词,抽象,elem,elem 基础|-entary 形容词后缀,element的形容词，基础的、初级的，考研高频词。,basic|primary|fundamental|introductory,This book is written for elementary English learners.,这本书是为初级英语学习者写的。
eliminate,/ɪˈlɪmɪneɪt/,v. 消除；排除；淘汰；消灭,v. 消除；排除；淘汰；消灭,Unit 02 必考词,抽象,limin,e-加强|limin 门槛|-ate 动词后缀,limin是门槛，e加强，扔到门槛外→消除、排除、淘汰，考研核心词。,elimination|remove|exclude|get rid of,We need to eliminate all possible risks before we start the project.,我们需要在项目开始前排除所有可能的风险。
abolish,/əˈbɑːlɪʃ/,v. 废除；废止；取消；彻底破坏,v. 废除；废止；取消；彻底破坏,Unit 02 必考词,社会,bol,ab-加强|bol 扔|-ish 动词后缀,bol是扔，ab加强，全部扔掉→废除、废止，考研高频词。,abolition|cancel|eliminate|repeal,The government decided to abolish the outdated tax law.,政府决定废除这项过时的税法。
absence,/ˈæbsəns/,n. 缺席；不在；缺乏；没有,n. 缺席；不在；缺乏；没有,Unit 02 必考词,抽象,abs,abs-离开|-ence 名词后缀,abs是离开，-ence名词，离开的状态→缺席、不在、缺乏，考研高频词。,absent|lack|shortage|nonappearance,His absence from the meeting made the manager very angry.,他缺席会议让经理非常生气。
absent,/ˈæbsənt/ adj. /əbˈsent/ v.,adj. 缺席的；不在的；缺乏的 v. 缺席；不参加,adj. 缺席的；不在的；缺乏的 v. 缺席；不参加,Unit 02 必考词,抽象,abs,abs-离开|-ent 形容词/动词后缀,abs是离开，-ent后缀，离开的→缺席的、不在的，也指缺席，考研核心多义词。,absence|away|missing|not present,She was absent from school yesterday because she was ill.,她昨天生病没来上学。
abroad,/əˈbrɔːd/,adv. 在国外；到海外；广泛地；到处,adv. 在国外；到海外；广泛地；到处,Unit 02 必考词,社会,ab,ab-加强|broad 宽的,ab加强+broad宽的，走到宽的地方去→在国外、到海外，考研高频词。,overseas|foreign|widely|everywhere,She has decided to go abroad to study next year.,她决定明年出国留学。
absolute,/ˈæbsəluːt/,adj. 绝对的；完全的；无条件的；不受限制的,adj. 绝对的；完全的；无条件的；不受限制的,Unit 02 必考词,抽象,solv,ab-加强|solv 松开|-ute 形容词后缀,solv是松开，ab加强，完全松开的→绝对的、完全的，考研核心词。,absolutely|complete|total|unconditional,He has absolute trust in his best friend.,他完全信任他最好的朋友。
absorb,/əbˈsɔːrb/,v. 吸收；理解；承受；使全神贯注,v. 吸收；理解；承受；使全神贯注,Unit 02 必考词,自我,sorb,ab-加强|sorb 吸收|- 动词后缀,sorb是吸收，ab加强，全部吸收→吸收、理解、承受，考研核心词。,absorption|digest|soak|assimilate,Plants absorb carbon dioxide from the air during photosynthesis.,植物在光合作用过程中吸收空气中的二氧化碳。
abstract,/ˈæbstrækt/ adj. /æbˈstrækt/ v.,adj. 抽象的；理论的；深奥的 n. 摘要；抽象 v. 提取；摘录,adj. 抽象的；理论的；深奥的 n. 摘要；抽象 v. 提取；摘录,Unit 02 必考词,抽象,tract,abs-离开|tract 拉|- 形容词/动词/名词后缀,tract是拉，abs离开，拉出来的东西→摘要、抽象，也指提取、摘录，考研核心多义词。,summary|theoretical|extract|summary,This is an abstract painting, not a realistic one.,这是一幅抽象画，不是写实的。
ban,/bæn/,v. 禁止；取缔；明令禁止 n. 禁令；禁止,v. 禁止；取缔；明令禁止 n. 禁令；禁止,Unit 02 必考词,社会,ban,ban 禁止,最基础的禁止相关词，考研高频多义词，搭配ban sth/ban sb from doing sth。,forbid|prohibit|outlaw|restriction,The school has banned the use of mobile phones in class.,学校禁止在课堂上使用手机。
bar,/bɑːr/,n. 酒吧；条；棒；栏杆；法庭 v. 禁止；阻拦；闩上,n. 酒吧；条；棒；栏杆；法庭 v. 禁止；阻拦；闩上,Unit 02 必考词,社会,bar,bar 栏；禁止,考研高频多义词，核心义为“阻拦、禁止”，也指酒吧、栏杆。,ban|forbid|block|obstruct,He was barred from entering the building because he had no ID.,他因为没有身份证被禁止进入这栋楼。
